Primary_Key,URL
10243,"http://bit.ly/2tsdLyy, http://bit.ly/2tDaWtN"
10244,http://bit.ly/2uBj8bt
10245,"http://bit.ly/2uBuSum, http://bit.ly/2sgBBxa"
10246,"http://bit.ly/2uEY0SQ, http://bit.ly/2uEY0SQ"
10247,http://bit.ly/2uHLsgr
10248,http://bit.ly/2ubgmKW
10249,http://bit.ly/2ubmpys
10250,http://bit.ly/2uqlixZ
10251,http://bit.ly/2uryAI2
10252,"http://bit.ly/2uz8y7O, http://bit.ly/2tc17Qs"
10253,"http://bit.ly/2vClJSv, http://bit.ly/2xFzKQA"
10254,http://bit.ly/2vK9EKX
10255,http://bit.ly/2vL2V4J
10256,"http://bit.ly/2vs2T3W, http://bit.ly/2vwJcbd, http://bit.ly/2AigVca"
10257,http://bit.ly/2vz9ZmN
10258,http://bit.ly/2w2EdQA
10259,http://bit.ly/2wAMcEY
10260,http://bit.ly/2wC8yCp
10261,"http://bit.ly/2wKAS6u, http://bit.ly/2wb99K4"
10262,"http://bit.ly/2wNloSf, http://bit.ly/2wO763N"
10263,"http://bit.ly/2whY2lR, http://bit.ly/2x5q4BX"
10264,"http://bit.ly/2wnzVkc, http://bit.ly/2wngJmL"
10265,http://bit.ly/2wyOSPk
10266,"http://bit.ly/2x2ahV8, http://bit.ly/2wfpvXj"
10267,http://bit.ly/2xYUPdm
10268,"http://bit.ly/2xuJ6A1, http://bit.ly/2xGdSrS"
10269,http://bit.ly/2xuXwQD
10270,"http://bit.ly/2y5nxpN, http://bit.ly/2hYgYS4"
10271,http://bit.ly/2y7B1Uo
10272,http://bit.ly/2yCSQs9
10273,http://bit.ly/2z9uA3X
10274,http://bit.ly/2zEy8e6
10275,http://bit.ly/2zjFwNo
10276,http://bit.ly/2zw7zYD
10277,http://cnn.it/1jGgOUo
10278,http://elmanana.com.mx/noticia/134859/Pescan-en-el-Bravo-cuerpo-de-ahogado.html
10279,http://humaneborders.info/
10280,http://lat.ms/2b1BTuj
10281,http://lat.ms/2oh25gq
10282,http://nyti.ms/1OHQ7ja
10283,http://nyti.ms/1k00Xlq
10284,"http://nyti.ms/2uMdFC8, http://bit.ly/2iOVRyJ, http://bit.ly/2CCPnyH, http://bit.ly/2qrgacn"
10285,http://sumo.ly/ut2s
10286,http://sumo.ly/x3vZ
10287,http://wapo.st/2fbj7CK
10288,http://www.cbp.gov/newsroom/media-resources/stats
10289,http://www.hoytamaulipas.net/notas/294035/Rescatan-cuerpo-de-ahogado-en-el-rio-Bravo-por-Nuevo-Laredo%C2%A0.html
10290,http://www.humaneborders.info
10291,http://www.humaneborders.info/
10292,"http://www.humaneborders.info/, http://bit.ly/2rTlHrJ"
10293,http://www.humaneborders.info/app/map.asp
10294,http://www.humaneborders.info/app/mapa.asp
10295,http://www.kpbs.org/audioclips/32713/
10296,http://www.laprensa.mx/notas.asp?id=371404
10297,http://www.laprensa.mx/notas.asp?id=397034
10298,http://www.laprensa.mx/notas.asp?id=402666
10299,http://www.latarde.com.mx/flotaahogadoenelriobravo-383331.html
10300,"https://abcn.ws/2xJVjkH, https://bit.ly/2xrY2zR, https://delmarvane.ws/2Dkz37f"
10301,https://bit.ly/2AVLdC3
10302,"https://bit.ly/2AVwx3y, https://bit.ly/2Tar9AF"
10303,https://bit.ly/2AbFAw9
10304,https://bit.ly/2B7T907
10305,https://bit.ly/2BLE05A
10306,https://bit.ly/2BLavRs
10307,"https://bit.ly/2BgrsUb, https://bit.ly/2Kecscj"
10308,"https://bit.ly/2BveQY1, https://bit.ly/2EHISMn, https://bit.ly/2AsIs8T"
10309,https://bit.ly/2CS3Kj5
10310,https://bit.ly/2D1Ukki
10311,https://bit.ly/2D4Mc3k
10312,"https://bit.ly/2DJpvB7, https://bit.ly/2P1trPN"
10313,https://bit.ly/2DXHB2c
10314,"https://bit.ly/2E44gsi, https://bit.ly/2IwhW4P, https://bit.ly/2Tb94G2"
10315,https://bit.ly/2EV7BO3
10316,"https://bit.ly/2EZkExY, https://bit.ly/2K6lEPY"
10317,"https://bit.ly/2EcRjPF, https://bit.ly/2AHH7KC"
10318,"https://bit.ly/2EhVU2G, https://bit.ly/2KZbu3Z, https://bit.ly/2E5RknB"
10319,"https://bit.ly/2Ew8xHS, https://bit.ly/2QUkX1W, https://bit.ly/2LlEenE"
10320,"https://bit.ly/2EzGUO8, https://bit.ly/2A3KQTk"
10321,https://bit.ly/2FMbsMg
10322,"https://bit.ly/2FPw32Y, https://bit.ly/2UpdohU"
10323,"https://bit.ly/2FSKun9, https://bit.ly/2Wxvy2S"
10324,https://bit.ly/2Fg5u5S
10325,https://bit.ly/2GK2uAX
10326,"https://bit.ly/2GOiY6g, https://bit.ly/2KUJiOq, https://bit.ly/2xqyLZg"
10327,"https://bit.ly/2Gz4viJ, https://bit.ly/2U0898m"
10328,https://bit.ly/2HAT5fU
10329,https://bit.ly/2HTPVm7
10330,https://bit.ly/2HXhp6A
10331,"https://bit.ly/2HjYQgt, https://bit.ly/2JIYqPa, https://bit.ly/2qsYN7H, https://www.facebook.com/1800Migrante/posts/1626694120754804"
10332,https://bit.ly/2I2a3Q1
10333,https://bit.ly/2I2hvde
10334,"https://bit.ly/2I3n3Wx, https://bit.ly/2vKjotR, https://bit.ly/2Hqhqo6"
10335,https://bit.ly/2I69TKO
10336,https://bit.ly/2IEgPuK
10337,"https://bit.ly/2IEgPuK, https://bit.ly/2z8dyEi"
10338,https://bit.ly/2IPqSlv
10339,"https://bit.ly/2IUWBwI, https://bit.ly/2KMiUK3"
10340,https://bit.ly/2IV1UhH
10341,"https://bit.ly/2IV7mPY, https://bit.ly/2zclxQX"
10342,"https://bit.ly/2IZgCnI, https://bit.ly/2CL5B9d"
10343,https://bit.ly/2Ispe4v
10344,"https://bit.ly/2IwAIpf, https://bit.ly/2OEOETm"
10345,https://bit.ly/2Iwxi46
10346,"https://bit.ly/2JJ7wOE, https://bit.ly/2sNPpgZ, https://bit.ly/2l3OVyZ"
10347,https://bit.ly/2JTAxHL
10348,https://bit.ly/2Jb3sqm
10349,https://bit.ly/2Jfdfbu
10350,https://bit.ly/2Jk42i9
10351,https://bit.ly/2JtMCUp
10352,https://bit.ly/2K2bPAY
10353,"https://bit.ly/2KAFi6a, https://docs.google.com/spreadsheets/d/1tMr7v1t_XUpe4gonpCEg92s8lzeGEpzamsGFvFenY7I/edit#gid=682861705"
10354,"https://bit.ly/2KGQkX1, https://bit.ly/2IUNYqa"
10355,"https://bit.ly/2KO9xWQ, https://bit.ly/2KJBhvF"
10356,https://bit.ly/2KOf4B3
10357,https://bit.ly/2KOsEkz
10358,"https://bit.ly/2KPbvGh, https://usat.ly/2kmLqTW, https://bit.ly/2xbL5wp, https://bit.ly/2IV8vYz"
10359,"https://bit.ly/2KXAirg, https://bit.ly/2PcVv3O"
10360,"https://bit.ly/2Kecscj, https://bit.ly/2FsCEkH"
10361,"https://bit.ly/2KoYFzI, https://bit.ly/2Kr8pJF"
10362,"https://bit.ly/2L4PswK, https://bit.ly/2Pwrnzo"
10363,https://bit.ly/2L8OSxJ
10364,https://bit.ly/2LKRYMn
10365,https://bit.ly/2LPplcI
10366,"https://bit.ly/2LSLIyE, https://bit.ly/2GZqPmC"
10367,https://bit.ly/2LSo1oH
10368,https://bit.ly/2LWyDH1
10369,"https://bit.ly/2LWyDH1, https://bit.ly/2vbT6OG"
10370,https://bit.ly/2LYaz6E
10371,https://bit.ly/2LiiCa7
10372,https://bit.ly/2LjqFHJ
10373,"https://bit.ly/2LujLvZ, https://bit.ly/2HrxCAK"
10374,"https://bit.ly/2LvgXhx, https://bit.ly/2wzGXmH"
10375,https://bit.ly/2MB2tSK
10376,https://bit.ly/2MEA91U
10377,https://bit.ly/2MEGyu0
10378,"https://bit.ly/2MExJPK, https://bit.ly/2N72aeo"
10379,"https://bit.ly/2MHVN4j, https://www.facebook.com/Desaparecidosysinreclamarenlafrontera/posts/1834025750240698"
10380,https://bit.ly/2MIbrgf
10381,https://bit.ly/2MZJQV0
10382,"https://bit.ly/2MauxsB, https://bit.ly/2FvNR25"
10383,"https://bit.ly/2MlaI1W, https://bit.ly/2FFMxLb"
10384,https://bit.ly/2Mnbyyz
10385,https://bit.ly/2N551UR
10386,"https://bit.ly/2N6RyvW, https://bit.ly/2KZvCp7, https://bit.ly/2KZIZXf, https://bit.ly/2A2sg0c"
10387,https://bit.ly/2NKOxSv
10388,"https://bit.ly/2NMMJaU, https://bit.ly/2PGo3Tt"
10389,"https://bit.ly/2NMXxeb, https://bit.ly/2xI12IR"
10390,https://bit.ly/2NXSK9V
