port_year_concat,port_code,port_name,port_state,port_lat,port_lng,year_reported,fatalities,missing,casualties,survivors,female_casualties,male_casualties,child_casualties,pedestrian_x,passenger_x_bus,passenger_x_train,passenger_x_personal_vehicle,passenger_x_any,pedestrian_and_passenger_x,personal_vehicles,buses,trains,trucks,rail_containers_full,rail_containers_empty,truck_containers_full,truck_containers_empty
2504|2018,2504,San Ysidro,California,32.54306,-117.02666999999998,2018,5,0,5,2,,5,3,9435611,53634,,25182134,25235768,34671379,14505306,32058,,,,,,
2505|2014,2505,Tecate,California,32.577220000000004,-116.62666999999999,2014,,,,,,,,743666,5456,0,1598672,1604128,2347794,812540,237,0,52239,0,0,27214,15462
2505|2015,2505,Tecate,California,32.577220000000004,-116.62666999999999,2015,,,,,,,,608359,4306,0,1776948,1781254,2389613,908482,176,0,52090,0,0,31736,17399
2505|2016,2505,Tecate,California,32.577220000000004,-116.62666999999999,2016,,,,,,,,673605,2068,0,1908413,1910481,2584086,971193,94,0,56269,0,0,37265,17732
2505|2017,2505,Tecate,California,32.577220000000004,-116.62666999999999,2017,2,0,2,,,2,,771453,39,,2039817,2039856,2811309,1043225,3,,59128,,,43765,28073
2505|2018,2505,Tecate,California,32.577220000000004,-116.62666999999999,2018,10,0,10,15,1,5,1,837643,,,2130145,2130145,2967788,1092092,,,61778,,,36171,29282
2506|2014,2506,Otay Mesa,California,32.57333,-117.05333,2014,1,0,1,2,,1,,3415957,186898,410,12040318,12227626,15643583,6910219,41222,205,810193,1,3088,609172,203927
2506|2015,2506,Otay Mesa,California,32.57333,-117.05333,2015,1,0,1,19,1,,,3411485,138590,440,12225410,12364440,15775925,6933472,38303,220,829581,15,2683,641512,190133
2506|2016,2506,Otay Mesa,California,32.57333,-117.05333,2016,3,0,3,9,,3,,3504800,57058,472,13583328,13640858,17145658,7722264,32877,236,899336,0,4646,675511,226452
2506|2017,2506,Otay Mesa,California,32.57333,-117.05333,2017,8,4,12,,2,6,,3361489,47117,458,13600059,13647634,17009123,8309476,31467,477,929614,,4174,677590,219968
2506|2018,2506,Otay Mesa,California,32.57333,-117.05333,2018,4,0,4,,,4,,3391349,42389,408,13318027,13360824,16752173,7708214,29533,204,962577,,3211,738966,217079
2507|2014,2507,Calexico East,California,32.67524,-115.48433,2014,,,,,,,,310344,111400,247,6437937,6549584,6859928,3399697,2785,252,325243,587,6561,178871,153893
2507|2015,2507,Calexico East,California,32.67524,-115.48433,2015,4,0,4,,,4,,223374,122873,240,6744400,6867513,7090887,3622215,3064,245,337474,565,6635,192747,153787
2507|2016,2507,Calexico East,California,32.67524,-115.48433,2016,1,0,1,,,1,,253992,116240,250,7041582,7158072,7412064,3829484,2906,250,349727,287,6100,199469,161944
2507|2017,2507,Calexico East,California,32.67524,-115.48433,2017,5,0,5,,,4,,260454,115600,247,7143200,7259047,7519501,3843383,2881,245,360833,201,7478,232455,196713
2507|2018,2507,Calexico East,California,32.67524,-115.48433,2018,9,0,9,,1,7,,300463,104080,246,6505560,6609886,6910349,3560187,2602,246,376079,330,7271,205403,174123
2582|2017,2582,Cross Border Xpress,California,32.54722,-116.975,2017,,,,,,,,283263,,,,0,283263,,,,,,,,
